"id","zip_code","sid","default_state","default_city","default_type"
1,"00501",37,"NY","HOLTSVILLE","UNIQUE"
2,"00544",37,"NY","HOLTSVILLE","UNIQUE"
3,"00601",46,"PR","ADJUNTAS","STANDARD"
4,"00602",46,"PR","AGUADA","STANDARD"
5,"00603",46,"PR","AGUADILLA","STANDARD"
6,"00604",46,"PR","AGUADILLA","PO BOX"
7,"00605",46,"PR","AGUADILLA","PO BOX"
8,"00606",46,"PR","MARICAO","STANDARD"
9,"00610",46,"PR","ANASCO","STANDARD"
10,"00611",46,"PR","ANGELES","PO BOX"
11,"00612",46,"PR","ARECIBO","STANDARD"
12,"00613",46,"PR","ARECIBO","PO BOX"
13,"00614",46,"PR","ARECIBO","PO BOX"
14,"00616",46,"PR","BAJADERO","STANDARD"
15,"00617",46,"PR","BARCELONETA","STANDARD"
16,"00622",46,"PR","BOQUERON","STANDARD"
17,"00623",46,"PR","CABO ROJO","STANDARD"
18,"00624",46,"PR","PENUELAS","STANDARD"
19,"00627",46,"PR","CAMUY","STANDARD"
20,"00631",46,"PR","CASTANER","PO BOX"
21,"00636",46,"PR","ROSARIO","PO BOX"
22,"00637",46,"PR","SABANA GRANDE","STANDARD"
23,"00638",46,"PR","CIALES","STANDARD"
24,"00641",46,"PR","UTUADO","STANDARD"
25,"00646",46,"PR","DORADO","STANDARD"
26,"00647",46,"PR","ENSENADA","STANDARD"
27,"00650",46,"PR","FLORIDA","STANDARD"
28,"00652",46,"PR","GARROCHALES","STANDARD"
29,"00653",46,"PR","GUANICA","STANDARD"
30,"00656",46,"PR","GUAYANILLA","STANDARD"
31,"00659",46,"PR","HATILLO","STANDARD"
32,"00660",46,"PR","HORMIGUEROS","STANDARD"
33,"00662",46,"PR","ISABELA","STANDARD"
34,"00664",46,"PR","JAYUYA","STANDARD"
35,"00667",46,"PR","LAJAS","STANDARD"
36,"00669",46,"PR","LARES","STANDARD"
37,"00670",46,"PR","LAS MARIAS","STANDARD"
38,"00674",46,"PR","MANATI","STANDARD"
39,"00676",46,"PR","MOCA","STANDARD"
40,"00677",46,"PR","RINCON","STANDARD"
41,"00678",46,"PR","QUEBRADILLAS","STANDARD"
42,"00680",46,"PR","MAYAGUEZ","STANDARD"
43,"00681",46,"PR","MAYAGUEZ","PO BOX"
44,"00682",46,"PR","MAYAGUEZ","STANDARD"
45,"00683",46,"PR","SAN GERMAN","STANDARD"
46,"00685",46,"PR","SAN SEBASTIAN","STANDARD"
47,"00687",46,"PR","MOROVIS","STANDARD"
48,"00688",46,"PR","SABANA HOYOS","STANDARD"
49,"00690",46,"PR","SAN ANTONIO","STANDARD"
50,"00692",46,"PR","VEGA ALTA","STANDARD"
51,"00693",46,"PR","VEGA BAJA","STANDARD"
52,"00694",46,"PR","VEGA BAJA","PO BOX"
53,"00698",46,"PR","YAUCO","STANDARD"
54,"00703",46,"PR","AGUAS BUENAS","STANDARD"
55,"00704",46,"PR","AGUIRRE","STANDARD"
56,"00705",46,"PR","AIBONITO","STANDARD"
57,"00707",46,"PR","MAUNABO","STANDARD"
58,"00714",46,"PR","ARROYO","STANDARD"
59,"00715",46,"PR","MERCEDITA","STANDARD"
60,"00716",46,"PR","PONCE","STANDARD"
61,"00717",46,"PR","PONCE","STANDARD"
62,"00718",46,"PR","NAGUABO","STANDARD"
63,"00719",46,"PR","NARANJITO","STANDARD"
64,"00720",46,"PR","OROCOVIS","STANDARD"
65,"00721",46,"PR","PALMER","PO BOX"
66,"00723",46,"PR","PATILLAS","STANDARD"
67,"00725",46,"PR","CAGUAS","STANDARD"
68,"00726",46,"PR","CAGUAS","PO BOX"
69,"00727",46,"PR","CAGUAS","STANDARD"
70,"00728",46,"PR","PONCE","STANDARD"
71,"00729",46,"PR","CANOVANAS","STANDARD"
72,"00730",46,"PR","PONCE","STANDARD"
73,"00731",46,"PR","PONCE","STANDARD"
74,"00732",46,"PR","PONCE","PO BOX"
75,"00733",46,"PR","PONCE","PO BOX"
76,"00734",46,"PR","PONCE","PO BOX"
77,"00735",46,"PR","CEIBA","STANDARD"
78,"00736",46,"PR","CAYEY","STANDARD"
79,"00737",46,"PR","CAYEY","PO BOX"
80,"00738",46,"PR","FAJARDO","STANDARD"
81,"00739",46,"PR","CIDRA","STANDARD"
82,"00740",46,"PR","PUERTO REAL","STANDARD"
83,"00741",46,"PR","PUNTA SANTIAGO","STANDARD"
84,"00742",46,"PR","ROOSEVELT ROADS","STANDARD"
85,"00744",46,"PR","RIO BLANCO","PO BOX"
86,"00745",46,"PR","RIO GRANDE","STANDARD"
87,"00751",46,"PR","SALINAS","STANDARD"
88,"00754",46,"PR","SAN LORENZO","STANDARD"
89,"00757",46,"PR","SANTA ISABEL","STANDARD"
90,"00765",46,"PR","VIEQUES","STANDARD"
91,"00766",46,"PR","VILLALBA","STANDARD"
92,"00767",46,"PR","YABUCOA","STANDARD"
93,"00769",46,"PR","COAMO","STANDARD"
94,"00771",46,"PR","LAS PIEDRAS","STANDARD"
95,"00772",46,"PR","LOIZA","STANDARD"
96,"00773",46,"PR","LUQUILLO","STANDARD"
97,"00775",46,"PR","CULEBRA","PO BOX"
98,"00777",46,"PR","JUNCOS","STANDARD"
99,"00778",46,"PR","GURABO","STANDARD"
100,"00780",46,"PR","COTO LAUREL","STANDARD"
101,"00782",46,"PR","COMERIO","STANDARD"
102,"00783",46,"PR","COROZAL","STANDARD"
103,"00784",46,"PR","GUAYAMA","STANDARD"
104,"00785",46,"PR","GUAYAMA","PO BOX"
105,"00786",46,"PR","LA PLATA","PO BOX"
106,"00791",46,"PR","HUMACAO","STANDARD"
107,"00792",46,"PR","HUMACAO","PO BOX"
108,"00794",46,"PR","BARRANQUITAS","STANDARD"
109,"00795",46,"PR","JUANA DIAZ","STANDARD"
110,"00801",54,"VI","ST THOMAS","PO BOX"
111,"00802",54,"VI","ST THOMAS","STANDARD"
112,"00803",54,"VI","ST THOMAS","PO BOX"
113,"00804",54,"VI","ST THOMAS","PO BOX"
114,"00805",54,"VI","ST THOMAS","PO BOX"
115,"00820",54,"VI","CHRISTIANSTED","STANDARD"
116,"00821",54,"VI","CHRISTIANSTED","PO BOX"
117,"00822",54,"VI","CHRISTIANSTED","PO BOX"
118,"00823",54,"VI","CHRISTIANSTED","PO BOX"
119,"00824",54,"VI","CHRISTIANSTED","PO BOX"
120,"00830",54,"VI","ST JOHN","STANDARD"
121,"00831",54,"VI","ST JOHN","PO BOX"
122,"00840",54,"VI","FREDERIKSTED","STANDARD"
123,"00841",54,"VI","FREDERIKSTED","PO BOX"
124,"00850",54,"VI","KINGSHILL","STANDARD"
125,"00851",54,"VI","KINGSHILL","PO BOX"
126,"00901",46,"PR","SAN JUAN","STANDARD"
127,"00902",46,"PR","SAN JUAN","PO BOX"
128,"00906",46,"PR","SAN JUAN","PO BOX"
129,"00907",46,"PR","SAN JUAN","STANDARD"
130,"00908",46,"PR","SAN JUAN","PO BOX"
131,"00909",46,"PR","SAN JUAN","STANDARD"
132,"00910",46,"PR","SAN JUAN","PO BOX"
133,"00911",46,"PR","SAN JUAN","STANDARD"
134,"00912",46,"PR","SAN JUAN","STANDARD"
135,"00913",46,"PR","SAN JUAN","STANDARD"
136,"00914",46,"PR","SAN JUAN","PO BOX"
137,"00915",46,"PR","SAN JUAN","STANDARD"
138,"00916",46,"PR","SAN JUAN","PO BOX"
